panel_id,study_id,pollutant,is_boundary_pair,is_middle_pair,anchors,n_retained,coverage,normalized_regret
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=60 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=60 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=60 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=180,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=240,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=420,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=120 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=180 | time_min=240,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=180 | time_min=420,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=180 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=180 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=180 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=240 | time_min=420,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=240 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=240 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=240 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=420 | time_min=540,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=420 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=420 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=540 | time_min=720,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=540 | time_min=1440,2,1.0,0.0
Wei2025_urea_kinetics,Wei2025,Urea,False,False,time_min=720 | time_min=1440,2,1.0,0.0
Wei2025_urea_temperature,Wei2025,Urea,False,False,temperature_C=15 | temperature_C=25,2,1.0,0.0
Wei2025_urea_temperature,Wei2025,Urea,True,False,temperature_C=15 | temperature_C=35,2,1.0,0.0
Wei2025_urea_temperature,Wei2025,Urea,False,False,temperature_C=25 | temperature_C=35,2,1.0,0.0
